Date,Product,Price,Sales,Promo,Currency
5/1/2025,Widget A,19.99,150,0,$
5/2/2025,Widget A,19.99,160,0,$
5/3/2025,Widget A,19.99,155,1,$
5/4/2025,Widget A,19.99,165,1,$
5/5/2025,Widget A,19.99,170,0,$
5/6/2025,Widget A,19.99,175,0,$
5/7/2025,Widget A,19.99,180,1,$
5/8/2025,Widget A,19.99,185,1,$
5/9/2025,Widget A,19.99,190,0,$
5/10/2025,Widget A,19.99,195,0,$
5/11/2025,Widget A,19.99,200,1,$
5/12/2025,Widget A,19.99,210,1,$
5/13/2025,Widget A,19.99,205,0,$
5/14/2025,Widget A,19.99,215,0,$
5/15/2025,Widget A,19.99,220,1,$
5/16/2025,Widget A,19.99,225,1,$
5/17/2025,Widget A,19.99,230,0,$
5/18/2025,Widget A,19.99,235,0,$
5/19/2025,Widget A,19.99,240,1,$
5/20/2025,Widget A,19.99,245,1,$
5/21/2025,Widget A,19.99,250,0,$
5/22/2025,Widget A,19.99,255,0,$
5/23/2025,Widget A,19.99,260,1,$
5/24/2025,Widget A,19.99,265,1,$
5/25/2025,Widget A,19.99,270,0,$
5/26/2025,Widget A,19.99,275,0,$
5/27/2025,Widget A,19.99,280,1,$
5/28/2025,Widget A,19.99,285,1,$
5/29/2025,Widget A,19.99,290,0,$
5/30/2025,Widget A,19.99,295,0,$
