Date,Product,Price,Sales,Promo,Currency
5/20/2024,Shampoo,5.99,120,1,USD
5/21/2024,Shampoo,5.99,115,0,USD
5/22/2024,Shampoo,5.99,130,1,USD
5/23/2024,Shampoo,5.99,110,0,USD
5/24/2024,Shampoo,5.99,125,1,USD
5/25/2024,Shampoo,5.99,135,1,USD
5/26/2024,Shampoo,5.99,140,1,USD
5/27/2024,Shampoo,5.99,138,0,USD
5/28/2024,Shampoo,5.99,145,1,USD
5/29/2024,Shampoo,5.99,143,0,USD
5/30/2024,Shampoo,5.99,147,1,USD
5/31/2024,Shampoo,5.99,150,1,USD
6/1/2024,Shampoo,5.99,149,0,USD
6/2/2024,Shampoo,5.99,152,1,USD
6/3/2024,Shampoo,5.99,155,1,USD
6/4/2024,Shampoo,5.99,157,1,USD
6/5/2024,Shampoo,5.99,158,1,USD
6/6/2024,Shampoo,5.99,158,0,USD
6/7/2024,Shampoo,5.99,160,1,USD
6/8/2024,Shampoo,5.99,165,0,USD
6/9/2024,Shampoo,5.99,162,1,USD
6/10/2024,Shampoo,5.99,160,1,USD
6/11/2024,Shampoo,5.99,164,0,USD
6/12/2024,Shampoo,5.99,164,1,USD
6/13/2024,Shampoo,5.99,166,0,USD
6/14/2024,Shampoo,5.99,152,1,USD
6/15/2024,Shampoo,5.99,168,1,USD
6/16/2024,Shampoo,5.99,161,0,USD
6/17/2024,Shampoo,5.99,165,0,USD
6/18/2024,Shampoo,5.99,159,1,USD
